description,category,source_bank,transaction_type
BAYAR TAGIHAN TAGIHAN KARTU KREDIT BCA,tagihan,BRI,debit
SWITCHING DB PLN PRABAYAR,tagihan,BSI,debit
RETAIL INDOMARET BTM,belanja,BRI,debit
DB EDC MARUGAME UDON BGR,makanan,BSI,debit
TRSF E-BANKING DB BIAYA KULIAH SWASTA,pendidikan,Danamon,debit
TRSF E-BANKING DB REK SENDIRI 1022774455,transfer_internal,CIMB,transfer
NP RS HERMINA BGR,kesehatan,BRI,debit
BAYAR TAGIHAN BIZNET HOME,tagihan,BSI,debit
SWITCHING DB BNI 5206636607 YANTI PERMATA,transfer_sosial,Permata,transfer
SWITCHING DB PGN GAS RUMAH,tagihan,Permata,debit
APY CICILAN KPR BRI 18007241,tagihan,BCA,debit
SWITCHING DB Danamon 9841323820 PUTRI MAHARANI,transfer_keluarga,DANA,ewallet
E-BANKING DB 2617267840 KIRIMAN ANISA RAHMA,transfer_keluarga,BSI,transfer
TRSF DEBIT 90386900,tidak_diketahui,BCA,transfer
NP JANJI JIWA MDN,makanan,BRI,debit
DB EDC ALFAMART BTM,belanja,BNI,debit
DB GOOGLE PLAY GAMES,hiburan,BSI,debit
TRSF E-BANKING DB PERIPLUS BOOKSTORE,pendidikan,BNI,debit
DEBIT EDC SEDEKAH SMG,lainnya,BNI,debit
BAYAR TAGIHAN CICILAN ADIRA FINANCE,tagihan,CIMB,debit
DEBIT EDC SPP SMP YK,pendidikan,Mandiri,debit
PYMNT ZALORA,belanja,BSI,debit
DEBIT EDC PUSKESMAS LPG,kesehatan,Mandiri,debit
BYR VIA M-BANKING TAGIHAN INTERNET INDIHOME,tagihan,Danamon,debit
QRIS PMT UKT SEMESTER GENAP,pendidikan,BRI,debit
DB EDC BIOSKOP XXI,hiburan,CIMB,debit
ULANG TAHUN SARI INDAH,transfer_sosial,CIMB,transfer
BYR TAGIHAN IURAN IPL APARTEMEN,tagihan,Permata,debit
DB  DUOLINGO PLUS,pendidikan,BCA,debit
TRF KE DANA 87237754 758,topup_ewallet,DANA,ewallet
PATUNGAN KADO MULYADI,transfer_sosial,Danamon,transfer
TRF 0475097735 Danamon,tidak_diketahui,DANA,ewallet
PEMBAYARAN TRAVELOKA EATS,makanan,CIMB,debit
PRC METRO DEPT STORE CRB,belanja,Mandiri,debit
SA IB PRIMA Dr Trf 37,tidak_diketahui,BCA,transfer
TRF IURAN MUSHOLA FAJAR SIDIQ,transfer_sosial,BNI,transfer
SWITCHING DB TOL YK,transport,BCA,debit
DB GRABFOOD ORDER,makanan,Permata,debit
TRSF E-BANKING DB UKT SEMESTER GANJIL,pendidikan,Permata,debit
TRF IURAN MUSHOLA NURI RAHAYU,transfer_sosial,Permata,transfer
TRSF E-BANKING D,transport,BCA,debit
BYR TAGIHAN PDAM TIRTA BHAGASASI,tagihan,BSI,debit
TRF KE DANA 709996,topup_ewallet,DANA,ewallet
DB EDC BIOSKOP CGV,hiburan,BSI,debit
DEBIT EDC RS MITRA KELUARGA BTM,kesehatan,Mandiri,debit
BYR BIMBEL GANESHA OPERATION 76582049,pendidikan,Mandiri,debit
DEBIT EDC LES PRIVAT DPK,pendidikan,Mandiri,debit
DONASI JOKO WIDODO 614537,transfer_sosial,CIMB,transfer
PYMNT SHOPEEFOOD,makanan,BRI,debit
TOPUP SHOPEEPAY 927536,topup_ewallet,ShopeePay,ewallet
PEMBAYARAN RAWAT RS ADVENT,kesehatan,Danamon,debit
QRIS PMT  CONVERSE STORE SMG,belanja,BRI,debit
DEBIT EDC RS PONDOK INDAH SMG,kesehatan,BCA,debit
IPY TIKTOK SHOP,belanja,BSI,debit
DB EDC APOTEK KIMIA FARMA,kesehatan,Danamon,debit
TRF ARISAN GUNAWAN WIBOWO 744221,transfer_sosial,BCA,transfer
IPY GRABFOOD,makanan,Mandiri,debit
TRSF E-BANKING DB 2200277157 KIRIMAN GILANG RAMADHAN,transfer_keluarga,Permata,transfer
BYR KURSUS LIA LANGUAGE 36757430,pendidikan,BNI,debit
DEBIT EDC BIMBEL PRIMAGAMA LPG,pendidikan,BRI,debit
ipy maxim,transport,BRI,debit
DB EDC OPTIK MELAWAI,kesehatan,BCA,debit
DB PLN TOKEN LISTRIK,tagihan,Mandiri,debit
PYMNT TAGIHAN LISTRIK PLN 41728500,tagihan,BCA,debit
PYMNT SPOTIFY PREMIUM,hiburan,Mandiri,debit
DEBIT EDC EXPRESS TAXI BKS,transport,BSI,debit
KIRIM KE ADIK NURI RAHAYU 8062676735,transfer_keluarga,BCA,transfer
TRANSFER KAS RTCITRA DEWI,transfer_sosial,BNI,transfer
TRSF E-BANKING DB 7450710492 YUSUF R,transfer_keluarga,Permata,transfer
DB CIMB 6704211967 FAJAR SIDIQ,transfer_sosial,BRI,transfer
PBK REK 5689898666 KE REK 6312231308,transfer_internal,BSI,transfer
RETAIL ERIGO MLG,belanja,Mandiri,debit
TRF KE BAYU NUGROHO PATUNGAN WISATA,transfer_sosial,BSI,transfer
DB KAI ACCESS RIDE,transport,BCA,debit
SWITCHING DB BRI 8798765852,tidak_diketahui,BRI,transfer
SWITCHING DB TOL DPK,transport,Danamon,debit
TRF 2067394252 BRI,tidak_diketahui,BRI,transfer
QRIS PMT BIOSKOP XXI SMG,hiburan,Danamon,debit
NP TIMEZONE LPG,hiburan,BRI,debit
QRIS PMT PARKIR PBR,transport,BRI,debit
DEBIT EDC SABANA FRIED CHICKEN SMG,makanan,CIMB,debit
ipy gofood,makanan,BNI,debit
PYMNT GOFOOD,makanan,BCA,debit
DEBIT EDC DUFAN BPN,hiburan,BRI,debit
IPY MAXIM,transport,BSI,debit
PEMBAYARAN SHOPEEFOOD,makanan,BSI,debit
BYR TAGIHAN PDAM TIRTA BHAGASASI,tagihan,Mandiri,debit
PEMBAYARAN GRABFOOD 320,makanan,BNI,debit
QRIS PMT KURSUS KOMPUTER,pendidikan,Permata,debit
TRANSFER BELANJA KELUARGA UTAMI DEWI,transfer_keluarga,BCA,transfer
TRSF E-BANKING DB GOPAY 11498371,topup_ewallet,GoPay,ewallet
TRSF DB  KIRIMAN KELUARGA YUSUF RAHMAN,transfer_keluarga,Danamon,transfer
KIRIM UANG ISTRI PUTRI MAHARANI,transfer_keluarga,CIMB,transfer
IPY UNIPIN,hiburan,BNI,debit
AUTODEBET FIRSTMEDIA,tagihan,BSI,debit
KONDANGAN PERNIKAHAN GILANG RAMADHAN,transfer_sosial,Danamon,transfer
BYR TAGIHAN TAGIHAN BPJS KESEHATAN,tagihan,Danamon,debit
DEBIT EDC NIKE STORE BTM,belanja,Danamon,debit
TRSF E-BANKING DB SERVIC,lainnya,BSI,debit
TRANSFER ANAK KOS JOKO WIDODO,transfer_keluarga,BNI,transfer
KIRIM KE ADIK LINA MARLINA 6211387929,transfer_keluarga,Permata,transfer
SWITCHING DB BNI 6571477219 ZAKI ABDILLAH,transfer_sosial,BSI,transfer
pembayaran myrepublic 248801807779,tagihan,BNI,debit
QRIS PMT SUNATAN SBY,lainnya,CIMB,debit
DB PLN PREPAID,tagihan,Mandiri,debit
PEMBAYARAN TAGIHAN BPJS KESEHATAN 819594007164,tagihan,BCA,debit
DB GRABFOOD ORDER,makanan,BRI,debit
PEMBAYARAN QRIS SABANA FRIED CHICKEN,makanan,CIMB,debit
TRSF E-BANKING DB SHOPEEFOOD,makanan,Danamon,debit
PRC HERO  SUPERMARKET LPG,belanja,Mandiri,debit
PYMNT SEHATQ,kesehatan,CIMB,debit
DB AQIQAH,lainnya,BCA,debit
QRIS PMT PHD SOL,makanan,BRI,debit
DONASI UTAMI DEWI 181341,transfer_sosial,Danamon,transfer
SWITCHING DB TOPUP OVO,topup_ewallet,OVO,ewallet
KIRIM KONDANGAN WAHYU HIDAYAT,transfer_sosial,BRI,transfer
TRSF E-BANKING DB BUKALAPAK,belanja,BNI,debit
DB TAGIHAN BPJS KESEHATAN,tagihan,BRI,debit
TRSF E-BANKING DB UKT SEMESTER GANJIL,pendidikan,BSI,debit
byr asuransi jiwa 100630156444,lainnya,BRI,debit
BAYAR TAGIHAN TELKOMSEL SIMPATI,tagihan,BSI,debit
NP RS SILOAM SMG,kesehatan,BRI,debit
KIRIM KE ADIK BAYU NUGROHO 0598057991,transfer_keluarga,BRI,transfer
DB GRAB  TIKET,transport,BRI,debit
TRSF E-BANKING DB BUKALAPAK 159,belanja,Permata,debit
TRSF E-BANKING DB BIMBEL ONLINE,pendidikan,Danamon,debit
PRC NIKE STORE PBR,belanja,Danamon,debit
trsf e-banking db 4358875521,tidak_diketahui,Danamon,transfer
IPY GOJEK,transport,BCA,debit
RETAIL LOTTEMART BTM,belanja,BRI,debit
BYR FOTOKOPI PRINT 3675811236,lainnya,Danamon,debit
SWITCHING DB BCA 9108325613 ,transfer_sosial,BNI,transfer
DB E-TOLL YK,transport,BRI,debit
NP AQIQAH BGR,lainnya,BRI,debit
KE VERA ANGGRAINI NAFKAH BULANAN,transfer_keluarga,BNI,transfer
IPY SHOPEEFOOD,makanan,Permata,debit
TRSF E-BANKING DB GOJEK,transport,Mandiri,debit
DEBIT EDC SALON MLG,lainnya,BRI,debit
BAYAR KLINIK KLINIK GIGI MLG,kesehatan,BCA,debit
QRIS PMT BIMBEL GANESHA OPERATION,pendidikan,Mandiri,debit
SA IB PRIMA Dr Trf GOPAY,topup_ewallet,GoPay,ewallet
DB FLAZZ TOPUP,transport,Mandiri,debit
TRF PATUNGANLINA MARLINA,transfer_sosial,BNI,transfer
KIRIMAN BULANAN SUAMI RATNA SARI,transfer_keluarga,BSI,transfer
DEBIT EDC RS HERMINA DPS,kesehatan,CIMB,debit
DB GARENA TOP UP,hiburan,Danamon,debit
RETAIL STRADIVARIUS PLB,belanja,BRI,debit
TRSF E-BANKING DB ZAKAT INFAQ,lainnya,BCA,debit
DB EDC APOTEK 24 JAM,kesehatan,Mandiri,debit
QRIS PMT LES PR,pendidikan,Permata,debit
DB PLN PASCABAYAR,tagihan,Danamon,debit
PEMBELIAN  E-MONEY OVO,topup_ewallet,OVO,ewallet
TRF BULANAN KE GILANG RAMADHAN,transfer_keluarga,CIMB,transfer
NP AMAZONE DPK,hiburan,BRI,debit
PATUNGAN KADO FITRI HANDAYANI,transfer_sosial,Permata,transfer
TRSF E-BANKING DB ZENIUS EDUCATION,pendidikan,BRI,debit
DB EDC LOTTEMART YK,belanja,CIMB,debit
NP ASURANSI JIWA PLB,lainnya,BRI,debit
TRF BULANAN KE ,transfer_keluarga,Permata,transfer
BYR CBN FIBER 258000457220,tagihan,Danamon,debit
TRANSFER BELANJA KELUARGA KURNIA SARI,transfer_keluarga,BRI,transfer
NP FOTOKOPI PRINT MDN,lainnya,BRI,debit
TRANSFER KE GOPAY 676947,topup_ewallet,GoPay,ewallet
PEMBAYARAN QRIS AYAM GEPREK BENSU,makanan,Danamon,debit
PEMBAYARAN TAGIHAN KARTU KREDIT BCA 762264435006,tagihan,BCA,debit
VIS URBAN REPUBLIC,belanja,Mandiri,debit
NP ES TEH INDONESIA MKS,makanan,BRI,debit
BELANJA MINISO BPN,belanja,BCA,debit
DEBIT EDC PARKIR MLG,lainnya,Mandiri,debit
INFAQ JUMAT276033,transfer_sosial,Danamon,transfer
SA IB PRIMA Dr Trf 9265842099,tidak_diketahui,BCA,transfer
TRSF E-BANKING DB 0771296398 JOKO WIDODO RUTIN,transfer_keluarga,BRI,transfer
TRSF E-BANKING DB BIMBEL GANESHA OPERATION 233,pendidikan,Mandiri,debit
BYR VIA M-BANKING TAGIHAN KARTU KREDIT MANDIRI,tagihan,BCA,debit
QRIS PMT SPP SMP,pendidikan,BNI,debit
DONASI DEWI LESTARI 871937,transfer_sosial,Danamon,transfer
IPY GOJEK,transport,CIMB,debit
BAYAR TAGIHAN FIRSTMED,tagihan,BCA,debit
SA OB CA  TABUNGAN KE DEPOSITO,transfer_internal,Mandiri,transfer
DB EDC GIANT HYPERMARKET PLB,belanja,Mandiri,debit
TRSF E-BANKING DB UN,hiburan,Danamon,debit
kirim ke adik eko prasetyo 6339238689,transfer_keluarga,Danamon,transfer
DB EDC TRANS STUDIO BANDUNG,hiburan,Permata,debit
KONSULTASI HALODOC 277,kesehatan,CIMB,debit
DB ORAMI BELANJA,belanja,BNI,debit
TRSF DB KIRIMAN  KELUARGA BAYU NUGROHO,transfer_keluarga,Permata,transfer
IPY KURSUS KOMPUT,pendidikan,Danamon,debit
BYR TAGIHAN CICILAN ADIRA FINANCE,tagihan,CIMB,debit
BELANJA ALFAMIDI LPG,belanja,BCA,debit
NP CUCI MOBIL BTM,lainnya,BRI,debit
IPY TRAVELOKA,transport,BNI,debit
DB SPOTIFY PREMIUM,hiburan,Permata,debit
BAYAR KLINIK APOTEK CENTURY CRB,kesehatan,Mandiri,debit
TRF IURAN MUSHOLA BAYU NUGROHO,transfer_sosial,CIMB,transfer
BIAYA BEROBAT APOTEK 24 JAM,kesehatan,Mandiri,debit
BEROBAT KLINIK GIGI,kesehatan,CIMB,debit
BYR TAGIHAN BIZNET HOME,tagihan,Permata,debit
DB EDC KOPITIAM PBR,makanan,BCA,debit
DB TRF 5310184016,tidak_diketahui,Mandiri,transfer
VIS GULU GULU SBY,makanan,Mandiri,debit
RESTO BOBA THAI TEA MKS,makanan,Danamon,debit
GRAB RIDE,transport,BSI,debit
BYR CUCI MOBIL 6397341953,lainnya,BNI,debit
TRSF E-BANKING DB GOPAY 8277821454,topup_ewallet,GoPay,ewallet
DONASI SOSIAL YANTI PERMATA,transfer_sosial,BNI,transfer
PEMBAYARAN SHOPEE ORDER,belanja,Mandiri,debit
QRIS PMT BIAYA UJIAN NASIONAL,pendidikan,BRI,debit
DEBIT EDCSATE KHAS SENAYAN BKS,makanan,Permata,debit
PYMNT MAXIM,transport,CIMB,debit
NP GIANT HYPERMARKET TNG,belanja,BRI,debit
TRF KE YUSUF RAHMAN PATUNGAN WISATA,transfer_sosial,CIMB,transfer
NP CONVERSE STORE ,belanja,BRI,debit
DB GOFOOD ORDER,makanan,BCA,debit
DB APPLE STORE,hiburan,BRI,debit
SWITCHING DB APPLE STORE,hiburan,BRI,debit
BAYAR KLINIK KLINIK GIGI SMG,kesehatan,BSI,debit
BYR TAGIHAN TAGIHAN BPJS KESEHATAN,tagihan,Danamon,debit
TRF 571969 Permata,tidak_diketahui,CIMB,transfer
INFAQ JUMAT 237904,transfer_sosial,BNI,transfer
QRIS PMT GOLD GYM SMG,hiburan,CIMB,debit
BYR BPJSTK 63821078,tagihan,Danamon,debit
QRIS PMT SPP SEKOLAH DASAR,pendidikan,BRI,debit
TRSF E-BANKING DB GRABFOOD,makanan,Permata,debit
DB KAI ACCESS RIDE,transport,Mandiri,debit
DB GOJEK RIDE,transport,Danamon,debit
BYR ASURANSI JIWA 772192223495,lainnya,BNI,debit
QRIS PMT NAV KARAOKE SMG,hiburan,BCA,debit
NP BIOSKOP XXI PBR,hiburan,BRI,debit
PRC GIANT HYPERMARKET PLB,belanja,BNI,debit
TRSF NAFKAH HENDRA GUNAWAN BULANAN,transfer_keluarga,Danamon,transfer
QRIS PMT KURSUS LIA LANGUAGE 307,pendidikan,Permata,debit
DB E-TOLL CRB,transport,Mandiri,debit
NP  INUL VIZTA MKS,hiburan,BRI,debit
BELANJA PLANET SPORT LPG,belanja,Permata,debit
BAYAR TAGIHAN PDAM  KOTA,tagihan,Danamon,debit
RESTO BUBUR AYAM BGR,makanan,BRI,debit
TRF RUTIN BULANAN HADI SUSANTO 4226649860,transfer_keluarga,CIMB,transfer
TRSF E-BANKING DB SALON,lainnya,Permata,debit
KONSULTASI SEHATQ,kesehatan,BCA,debit
PYMNT BLIBLI,belanja,Danamon,debit
EDC AMAZONE DPS,hiburan,BCA,debit
TRSF E-BANKING DB BIAYA KULIAH SWASTA,pendidikan,BNI,debit
DEBIT EDC LABORATORIUM CITO MLG,kesehatan,Permata,debit
TRSF E-BANKING DB SPP SMA,pendidikan,BNI,debit
SWITCHING DB Danamon 4018847116 TONO HARTONO,transfer_keluarga,DANA,ewallet
TRANSFER ANAK KOS PUTRI MAHARANI,transfer_keluarga,BSI,transfer
TRF IURAN MUSHOLA TIKA RAHMADHANI,transfer_sosial,BNI,transfer
TRSF E-BANKING DB DUOLINGO PLUS,pendidikan,BNI,debit
BYR VIA M-BANKING TRI HUTCHISON,tagihan,BSI,debit
BYR TAGIHAN IURAN BULANAN RT,tagihan,CIMB,debit
TRSF E-BANKING DB TIKTOK COINS,hiburan,Danamon,debit
SA IB PRIMA Dr Trf 6594302962 ZAHRA NURLAILA,transfer_keluarga,BCA,transfer
IPY TIKTOK SHOP,belanja,CIMB,debit
BYR UKT SEMESTER GANJIL 00862520,pendidikan,BRI,debit
DB GRAB RIDE,transport,BNI,debit
MAKAN SABANA FRIED CHICKEN TNG,makanan,CIMB,debit
TRSF E-BANKING DB GRAB,transport,Permata,debit
KONDANGAN PERNIKAHAN GILANG RAMADHAN,transfer_sosial,Danamon,transfer
BYR PDAM TIRTA JAYA 9257775510,tagihan,BRI,debit
PATUNGAN KADO VINAOKTAVIA,transfer_sosial,BCA,transfer
PEMBAYARAN RAWAT APOTEK K24,kesehatan,BSI,debit
DB EDC ACE HARDWARE CRB,belanja,BRI,debit
DEBIT EDC APOTEK VIVA GENERIK PLB 103,kesehatan,BCA,debit
BIAYA BEROBATRUMAH SAKIT UMUM,kesehatan,Mandiri,debit
DEBIT EDC ALFAMIDI BKS,belanja,Mandiri,debit
BIAYA HIDUP KELUARGA RATNA SARI,transfer_keluarga,BSI,transfer
TOP UP OVO VIA BNI,topup_ewallet,OVO,ewallet
SWITCHING DB Danamon 0779512429 DEWI LESTARI,transfer_sosial,DANA,ewallet
PYMNT TRAVELOKA EATS,makanan,Permata,debit
DEBIT EDC KOPITIAM PLB,makanan,BCA,debit
DEBIT EDC NEW ERA SOL,belanja,Mandiri,debit
DB TRAVELOKA TIKET,transport,BRI,debit
QRIS PMT SERVICE AC PLB,lainnya,Danamon,debit
DEBIT EDC APOTEK VIVA GENERIK LPG,kesehatan,BNI,debit
AUTODEBET CICILAN ADIRA FINANCE,tagihan,Permata,debit
TRSF DB SUMBANGAN LESTARI NINGRUM,transfer_sosial,BSI,transfer
MAKAN WARUNG NASI GORENG YK,makanan,Permata,debit
BYR BARBERSHOP 314854912454,lainnya,Danamon,debit
DB EDC RS SILOAM,kesehatan,BSI,debit
KIRIM KE ADIK SURYA DARMA 7394443381,transfer_keluarga,Permata,transfer
TRSF E-BANKING DB VIDIO PREMIER,hiburan,BNI,debit
PMT KURSUS KOMPUTER,pendidikan,CIMB,debit
DEBIT EDC FOTOKOPI PRINT SBY,lainnya,BSI,debit
SWITCHING DB TOL CRB,transport,BNI,debit
DB EDCTRANS STUDIO BANDUNG,hiburan,Mandiri,debit
DEBIT EDC KURSUS KOMPUTER SBY,pendidikan,BSI,debit
NP HAPPY PUPPY KTV DPS,hiburan,BRI,debit
DEBIT EDC RANCH MARKET SOL,belanja,BCA,debit
VIS MINISO,belanja,Mandiri,debit
TRSF E-BANKING DB 3282663551 PANDU ADITYA RUTIN,transfer_keluarga,BSI,transfer
DEBIT EDC BIMBEL ONLINE DPS,pendidikan,BNI,debit
SWITCHING DB BSI 1877908980 289,tidak_diketahui,Mandiri,transfer
DEBIT EDC KLINIK GIGI MKS,kesehatan,Permata,debit
PATUNGAN ULANG TAHUN LESTARI NINGRUM,transfer_sosial,Permata,transfer
DEBIT EDC UANG PANGKAL SEKOLAH BDG 950,pendidikan,Mandiri,debit
DEBIT EDC APOTEK VIVA GENERIK PLB,kesehatan,Mandiri,debit
TRANSFER KE AHMAD FAUZI NAFKAH BULANAN,transfer_keluarga,BNI,transfer
TRF ORANG TUA ARIF HIDAYATULLAH 2556891143,transfer_keluarga,BSI,transfer
DEBIT EDC KURSUS ,pendidikan,BNI,debit
TRSF E-BANKING DB LAUNDRY,lainnya,BSI,debit
PEMBAYARAN GOFOOD,makanan,BNI,debit
PYMNT TRAVELOKA 784,transport,CIMB,debit
DB TRAVELOKA RIDE,transport,Danamon,debit
PEMBAYARAN RAWAT APOTEK 24 JAM,kesehatan,CIMB,debit
DEBIT EDC BLUE BIRD TAXI BPN,transport,CIMB,debit
QRIS PMT APOTEK 24 JAM PLB,kesehatan,Permata,debit
DEBIT  EDC UKT SEMESTER GENAP MDN,pendidikan,BCA,debit
RESTO NASI UDUK BETAWI MLG,makanan,Danamon,debit
IPY AXIS 28154888,tagihan,Permata,debit
NP ASURANSI JIWA BDG,lainnya,BRI,debit
DEBIT EDC DUFAN BPN,hiburan,Permata,debit
BYR ZAKAT INFAQ 657576490589,lainnya,Mandiri,debit
BYR TAGIHAN IURAN IPL APARTEMEN,tagihan,Danamon,debit
DB MOBILE LEGENDS,hiburan,BSI,debit
TRSF NAFKAH ZAKI ABDILLAH BULANAN,transfer_keluarga,CIMB,transfer
PYMNT TRI HUTCHISON 882531,tagihan,BRI,debit
BYR TAGIHAN IURAN IPL APARTEMEN,tagihan,CIMB,debit
DB KAI ACCESS TIKET,transport,BNI,debit
SWITCHING DB Mandiri 3881618602 VERA ANGGRAINI,transfer_keluarga,Permata,transfer
DEBIT EDC GOLD GYM DPS,hiburan,CIMB,debit
QRIS PMT HYPERMART SMG,belanja,BNI,debit
SWITCHING DB Mandiri  7042850059,tidak_diketahui,Danamon,transfer
DB EDC KLINIK ESTETIKA,kesehatan,CIMB,debit
DB APPLE MUSIC,hiburan,Permata,debit
TRF ARISAN TONO HARTONO 161839,transfer_sosial,Danamon,transfer
PEMBAYARAN QRIS WARUNG PADANG SEDERHANA,makanan,BNI,debit
TRSF E-BANKING DB BARBERSHOP,lainnya,BRI,debit
PYMNT GRABHEALTH,kesehatan,Permata,debit
BYR VIA M-BANKING XL AXIATA,tagihan,Permata,debit
DB EDC GUARDIAN MDN,belanja,BCA,debit
BAYAR KLINIK OPTIK SEIS SMG,kesehatan,Permata,debit
DB E-TOLL SBY,transport,BNI,debit
KIRIMAN BULANAN SUAMI GUNAWAN WIBOWO,transfer_keluarga,Permata,transfer
TRF PATUNGAN ARIF HIDAYATULLAH,transfer_sosial,BRI,transfer
BYR IURAN BULANAN RT 037838,tagihan,BNI,debit
VIS COTTON INK,belanja,Mandiri,debit
QRIS PMT MRT JAKARTA MDN,transport,Danamon,debit
NP CONVERSE STORE PLB,belanja,BRI,debit
DB GOFOOD  ORDER,makanan,BNI,debit
DEBIT EDC TRANS STUDIO BANDUNG SOL,hiburan,BSI,debit
TRSF NAFKAH GUNAWAN WIBOWO BULANAN,transfer_keluarga,BRI,transfer
PEMBAYARAN TRAVELOKA EATS,makanan,BRI,debit
DEBIT EDC H&M TNG,belanja,BNI,debit
QRIS PMT BIOSKOP XXI DPS,hiburan,BRI,debit
TRSF E-BANKING DB GOFOOD,makanan,Danamon,debit
KONDANGAN PERNIKAHAN NURI RAHAYU,transfer_sosial,Mandiri,transfer
PYMNT TIKTOK SHOP,belanja,Danamon,debit
SA OB CA TABUNGAN KE DEPOS,transfer_internal,Mandiri,transfer
NP BIOSKOP CGV CRB,hiburan,BRI,debit
DEBIT EDC WINGSTOP DPK,makanan,BNI,debit
VIS MARUGAME UDON BTM,makanan,Mandiri,debit
KONDANGAN PERNIKAHAN WAHYU HIDAYAT,transfer_sosial,Danamon,transfer
TRSF E-BANKING DB VIDIO PREMIER,hiburan,BCA,debit
IPY ZENIUS EDUCATION,pendidikan,Mandiri,debit
BELANJA HERO SUPERMARKET SOL,belanja,CIMB,debit
QRIS PMT BIMBEL PRIMAGAMA,pendidikan,BRI,debit
TRSF E-BANKING DB ALODOKTER,kesehatan,Mandiri,debit
SWITCHING DBPDAM TIRTA BHAGASASI,tagihan,Permata,debit
KIRIM UANG ISTRI SURYA DARMA,transfer_keluarga,Danamon,transfer
BELANJA IBOX APPLE BGR 441,belanja,Mandiri,debit
PRC PIZZA HUT MLG,makanan,Permata,debit
NP TRANS STUDIO BANDUNG DPS,hiburan,BRI,debit
DB FOTOKOPI PRINT,lainnya,Danamon,debit
TRSF E-BANKING DB IURAN IPL APARTEMEN,tagihan,BRI,debit
IPY LAZADA,belanja,Mandiri,debit
TRANSFER 3159986608,tidak_diketahui,Mandiri,transfer
DEBIT EDC URBAN REPUBLIC JKT,belanja,Mandiri,debit
EDC DUFAN,hiburan,BSI,debit
PYMNT GRABFOOD,makanan,Mandiri,debit
PYMNT UDEMY LEARNING,pendidikan,BCA,debit
SWITCHING DB BRI 4589283782 AHMAD FAUZI,transfer_sosial,BNI,transfer
PEMBAYARAN BUKALAPAK,belanja,Mandiri,debit
DB GOFOOD ORDER,makanan,BSI,debit
KIRIMAN AYAH  EKO PRASETYO,transfer_keluarga,BCA,transfer
DB E-TOLL LPG,transport,BCA,debit
TRF BULANAN KE JOKO WIDODO,transfer_keluarga,Permata,transfer
TRSF E-BANKING DB SPP UNIVERS,pendidikan,Mandiri,debit
RETAIL SAMSUNG STORE BKS,belanja,Mandiri,debit
DEBIT EDC BIAYA KULIAH SWASTA SMG,pendidikan,BNI,debit
TRANSFER KE GOPAY 458598,topup_ewallet,GoPay,ewallet
TRSF E-BANKING DB GOPAY 353279231862,topup_ewallet,GoPay,ewallet
QRIS PMT PARKIR LPG,transport,BSI,debit
TRSF E-BANKING DB COURSERA,pendidikan,BCA,debit
KONDANGAN PERNIKAHAN HADI SUSANTO,transfer_sosial,BSI,transfer
MAKAN MIXUE PBR,makanan,BRI,debit
DEBIT EDC INUL VIZTA BGR,hiburan,BNI,debit
DEBIT EDC OPTIK MELAWAI YK,kesehatan,BSI,debit
IPY RUANGGURU,pendidikan,BNI,debit
TRSF E-BANKING DB SHOPEEFOOD,makanan,BSI,debit
TRSF DB KIRIMAN KELUARGA DINA FITRIANI,transfer_keluarga,BRI,transfer
BYR BIAYA KULIAH SWASTA 145714285675,pendidikan,Permata,debit
IPY ALODOKTER,kesehatan,CIMB,debit
TRF 9003985542 CIMB,tidak_diketahui,BCA,transfer
IURAN ARISAN BULANAN ZAKI ABDILLAH,transfer_sosial,Mandiri,transfer
ULANG TAHUN ANISA RAHMA,transfer_sosial,CIMB,transfer
APY EXPRESS TAXI,transport,BCA,debit
TRSF E-BANKING DB 5588787033,tidak_diketahui,BCA,transfer
KONSULTASI KLIKDOKTER,kesehatan,BNI,debit
PEMBAYARAN QRIS YOSHINOYA,makanan,Permata,debit
PYMNT GRAB,transport,Permata,debit
PYMNT TAGIHAN LISTRIK PLN 899145404576,tagihan,Mandiri,debit
TRSF E-BANKING DB KURSUS LIA LANGUAGE,pendidikan,CIMB,debit
NP NAV KARAOKE CRB,hiburan,BRI,debit
NP MINISO BPN,belanja,BRI,debit
BYR SPP SMA 79275255,pendidikan,BRI,debit
DB CUCI MOBIL,lainnya,BCA,debit
MAKAN MIE AYAM JAKARTA PBR,makanan,BCA,debit
TRSF E-BANKING DB 5984916354 KIRIMAN IRA YUNITA,transfer_keluarga,Mandiri,transfer
DEBIT EDC SPP UNIVERSITAS PLB,pendidikan,Permata,debit
DB TOKOPEDIA BELANJA,belanja,BRI,debit
TOPUP SHOPEEPAY 44933119,topup_ewallet,ShopeePay,ewallet
SWITCHING DB BNI 8416069085 136,tidak_diketahui,BCA,transfer
TRANSFER KE FITRI HANDAYANI NAFKAH BULANAN,transfer_keluarga,Mandiri,transfer
NP KRL COMMUTERLINE JKT,transport,BRI,debit
DB GRAB RIDE,transport,BSI,debit
PYMNT CODASHOP,hiburan,BNI,debit
trf uang jajan anak endah purwanti,transfer_keluarga,CIMB,transfer
BYR TAGIHAN IURAN IPL APARTEMEN,tagihan,BCA,debit
BYR SUNATAN 96905826,lainnya,Mandiri,debit
VIS ERAFONE,belanja,Mandiri,debit
DEBIT EDC KLINIK KIMIA FARMA MKS,kesehatan,Mandiri,debit
